question,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3,difficulty,notes
"Which dating app is literally just for hookups?","Tinder","Christian Mingle","eHarmony","Match.com",2,"No shame"
"What does 'DTF' stand for?","Down To F*ck","Down To Fight","Down To Flirt","Date Time Friday",2,"Classic"
"What does 'BBC' mean in a sexual context?","Big Black C*ck","British Broadcasting Corporation","Big Beautiful Curves","Best Bedroom Connection",3,"Context matters"
"What's the most popular porn category globally?","MILF","Lesbian","Big Ass","Step-sibling",4,"Pornhub stats"
"What's a 'sneaky link'?","Secret hookup","Food delivery","Social media follow","Phone notification",3,"Gen Z slang"
"What does 'Netflix and chill' actually mean?","Hook up","Watch Netflix","Hang out","Get high",1,"Everyone knows"
"What's a 'situationship'?","Not dating but hooking up","A bad situation","Being in a relationship","Dating casually",2,"Modern dating"
"What does 'body count' refer to?","Number of sex partners","Murder victims","Workout reps","Calories burned",2,"Not what you think"
"What's a 'walk of shame'?","Going home in last night's clothes","Losing a game","Getting fired","Failing a test",2,"Classic"
"What does 'friends with benefits' mean?","Sex without commitment","Healthcare plan","Gym membership","Good friends",1,"Pretty obvious"
"What's 'ghosting' in dating?","Disappearing without explanation","Dying your hair white","Being pale","Halloween costume",2,"Brutal move"
"What's a 'one night stand'?","Random hookup","Furniture","Concert","Party",1,"Self-explanatory"
"What does 'sliding into DMs' mean?","Flirting in messages","Instagram post","Twitter reply","Snapchat story",2,"Social media move"
"What's 'Netflix and chill' code for?","Sex","Watching movies","Eating snacks","Taking a nap",1,"Not actually Netflix"
"What does 'thirsty' mean in dating?","Desperately horny","Need water","Drunk","Hungry",2,"Desperate energy"
